,Artist,Song,Duration(ms),Year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
142,KT Tunstall,Black Horse & The Cherry Tree,172373,2006,0.748,0.786,4,-7.788,0.0641,0.328,0.0,0.34,0.917,104.833
143,Juelz Santana,There It Go! (The Whistle Song),180493,2006,0.942,0.892,6,-6.363,0.196,0.023,0.000897,0.264,0.595,100.007
144,Young Dro ,Shoulder Lean,258680,2006,0.7,0.518,4,-7.191,0.177,0.0471,0.0,0.1,0.542,75.973
145,Jamie Foxx ,Unpredictable,219867,2006,0.734,0.599,9,-8.462,0.197,0.206,0.0,0.0555,0.772,145.185
146,Justin Timberlake ,My Love,276160,2006,0.772,0.68,11,-5.881,0.224,0.277,1.17e-05,0.682,0.807,119.953
147,Eminem ,Shake That,274440,2006,0.963,0.643,1,-5.785,0.117,0.0507,4.94e-05,0.157,0.534,107.005
148,Chingy ,Pullin' Me Back,234133,2006,0.786,0.511,7,-6.66,0.286,0.0825,0.0,0.12,0.587,80.0
149,Kelis ,Bossy,274947,2006,0.906,0.624,4,-5.556,0.179,0.000185,6.21e-06,0.0608,0.775,84.009
150,Jibbs,Chain Hang Low,207587,2006,0.792,0.589,4,-6.869,0.262,0.0259,0.000128,0.114,0.778,157.147
151,Akon ,Smack That,212360,2006,0.939,0.742,5,-5.171,0.0467,0.321,0.0,0.107,0.924,118.978
152,Ray J,One Wish,337640,2006,0.525,0.652,5,-7.042,0.28,0.278,0.0,0.339,0.602,127.673
153,Fall Out Boy,"Sugar, We're Goin' Down",229093,2006,0.494,0.841,7,-4.784,0.0838,0.00579,0.0,0.122,0.567,162.013
154,Chris Brown ,Gimme That,186827,2006,0.678,0.572,11,-7.033,0.0466,0.00374,6.59e-05,0.118,0.444,87.165
155,Yung Joc ,I Know You See It,241307,2006,0.744,0.368,1,-6.349,0.0524,0.0702,0.0,0.192,0.391,84.018
156,Bon Jovi,Who Says You Can't Go Home,230280,2006,0.537,0.885,7,-3.641,0.0343,0.0437,0.0,0.274,0.802,131.698
157,JoJo,Too Little Too Late,223533,2006,0.394,0.821,6,-4.304,0.0404,0.00302,0.019,0.186,0.509,82.764
158,Busta Rhymes,Touch It,240147,2006,0.641,0.615,1,-7.475,0.389,0.0367,0.0,0.105,0.411,68.938
159,Daddy Yankee,Rompe,204520,2006,0.685,0.859,5,-2.595,0.0553,0.116,0.0,0.317,0.891,176.018
160,Beyonce ,Deja Vu,289790,2006,0.771,0.684,6,-8.742,0.141,0.00534,2.66e-06,0.7,0.154,105.968
161,Rascal Flatts,Life Is A Highway,276320,2006,0.58,0.953,5,-3.856,0.0614,0.00261,0.0,0.218,0.673,103.041
162,Evanescence,Call Me When You're Sober,214707,2006,0.45,0.883,7,-4.094,0.0524,0.00193,0.0,0.293,0.328,93.41
163,Carrie Underwood,"Jesus, Take The Wheel",226493,2006,0.359,0.518,2,-3.537,0.0302,0.665,0.0,0.106,0.135,76.572
164,Danity Kane,Show Stopper,229240,2006,0.755,0.408,5,-10.33,0.187,0.0133,0.0,0.33,0.465,76.034
165,Ciara ,Get Up,263373,2006,0.941,0.631,1,-5.998,0.114,0.0366,1.8e-06,0.0311,0.63,128.597
166,Sean Paul,We Be Burnin',213066,2006,0.95,0.803,1,-4.195,0.151,0.145,0.0,0.0748,0.86,117.0
167,Blue October,Hate Me,380200,2006,0.449,0.691,4,-5.65,0.0349,0.477,0.0,0.0966,0.201,93.267
168,Lifehouse,You And Me,195493,2006,0.459,0.427,7,-7.734,0.0267,0.114,0.0,0.168,0.354,139.902
169,The Pussycat Dolls ,Beep,229360,2006,0.935,0.745,7,-6.391,0.0431,0.00914,0.0,0.116,0.518,103.691
170,Dem Franchize Boyz ,I Think They Like Me,282093,2006,0.781,0.625,7,-9.139,0.373,0.00447,0.0,0.185,0.679,83.024
171,Chris Brown,Say Goodbye,289760,2006,0.8,0.502,1,-6.062,0.0371,0.00167,0.0,0.0784,0.388,115.091
172,John Mayer,Waiting On The World To Change,201173,2006,0.577,0.756,2,-5.82,0.115,0.159,0.000232,0.249,0.663,176.75
